"Subregion","Season","DDD_ppb","Analyte","Unit"
"Suisun Bay","Fall",7.1e-05,"ddd","ppb"
"Suisun Bay","Fall",0,"ddd","ppb"
"Suisun Bay","Fall",0,"ddd","ppb"
"Suisun Bay","Fall",0,"ddd","ppb"
"Suisun Bay","Fall",7.9e-05,"ddd","ppb"
"Suisun Bay","Fall",7.1e-05,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0.004,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"South Delta","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0.004,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"South Delta","Fall",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"South Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0.0021,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"South Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"South Delta","Winter",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"South Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"South Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"South Delta","Spring",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"South Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"South Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"South Delta","Summer",0,"ddd","ppb"
"South Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"South Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"South Delta","Fall",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"South Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Confluence","Fall",4.3e-05,"ddd","ppb"
"Confluence","Fall",0,"ddd","ppb"
"Confluence","Fall",0,"ddd","ppb"
"Confluence","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0.0045,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0.0045,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0.004,"ddd","ppb"
"Sacramento River","Winter",0.0045,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"South Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0.0045,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"South Delta","Winter",0,"ddd","ppb"
"Sacramento River","Spring",0.0045,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"South Delta","Spring",0,"ddd","ppb"
"South Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0.0045,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0.0045,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"South Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0.0018,"ddd","ppb"
"Sacramento River","Summer",0.0045,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"South Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0.0045,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"South Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0.0016,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"South Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"Sacramento River","Fall",0.0045,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"South Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0.001,"ddd","ppb"
"South Delta","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0.0045,"ddd","ppb"
"South Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Sacramento River","Winter",0.0045,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"South Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"Confluence","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"Sacramento River","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"Central Delta","Fall",0,"ddd","ppb"
"North Delta","Fall",0,"ddd","ppb"
"Sacramento River","Fall",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Sacramento River","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"Central Delta","Winter",0,"ddd","ppb"
"North Delta","Winter",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"Central Delta","Spring",0,"ddd","ppb"
"North Delta","Spring",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"North Delta","Summer",0,"ddd","ppb"
"Central Delta","Summer",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Sacramento River","Spring",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
"Sacramento River","Summer",0,"ddd","ppb"
