"Subregion","Season","DDE_ppb","Analyte","Unit"
"Suisun Bay","Fall",0,"dde","ppb"
"Suisun Bay","Fall",0,"dde","ppb"
"Suisun Bay","Fall",0,"dde","ppb"
"Suisun Bay","Fall",0,"dde","ppb"
"Suisun Bay","Fall",0,"dde","ppb"
"Suisun Bay","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Sacramento River","Fall",0.004,"dde","ppb"
"Sacramento River","Fall",0.004,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0.0021,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"South Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"South Delta","Winter",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"South Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"South Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"South Delta","Spring",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"South Delta","Summer",0,"dde","ppb"
"South Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"South Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Confluence","Fall",0,"dde","ppb"
"Confluence","Fall",0,"dde","ppb"
"Confluence","Fall",0,"dde","ppb"
"Confluence","Fall",0,"dde","ppb"
"Sacramento River","Fall",0.005,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0.005,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Spring",0.003,"dde","ppb"
"Sacramento River","Winter",0.005,"dde","ppb"
"South Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0.005,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"South Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Spring",0.005,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"South Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"South Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0.005,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Spring",0.005,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"South Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0.0028,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Sacramento River","Summer",0.005,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"South Delta","Summer",0,"dde","ppb"
"Sacramento River","Summer",0.005,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"South Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"Sacramento River","Summer",0.0015,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"South Delta","Summer",0,"dde","ppb"
"Sacramento River","Fall",0.005,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Fall",0,"dde","ppb"
"Sacramento River","Fall",0.001,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Sacramento River","Fall",0.005,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"South Delta","Fall",0,"dde","ppb"
"Sacramento River","Winter",0.005,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"South Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"Confluence","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Sacramento River","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Sacramento River","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Sacramento River","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0,"dde","ppb"
"Sacramento River","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Sacramento River","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"Sacramento River","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"Sacramento River","Fall",0,"dde","ppb"
"Central Delta","Fall",0,"dde","ppb"
"North Delta","Fall",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Winter",0,"dde","ppb"
"North Delta","Winter",0,"dde","ppb"
"Central Delta","Winter",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Central Delta","Spring",0,"dde","ppb"
"North Delta","Spring",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"North Delta","Summer",0,"dde","ppb"
"Central Delta","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Spring",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
"Sacramento River","Summer",0,"dde","ppb"
