Analyte,Group,
carbaryl,Carbamate,
carbofuran,Carbamate,
mexacarbate,Carbamate,
azoxystrobin,Fungicide,
boscalid,Fungicide,
captan,Fungicide,
carbendazim,Fungicide,
chloropicrin,Fungicide,
chlorothalonil,Fungicide,
fenhexamid,Fungicide,
fluopyram,Fungicide,
fluxapyroxad,Fungicide,
propiconazole,Fungicide,
pyraclostrobin,Fungicide,
TCMTB,Fungicide,
tributyltin oxide,Fungicide,
atrazine ,Herbicide,
glyphosate,Herbicide,
"2,4-D",Herbicide,
"2,4,5-T",Herbicide,
"2,4,5-TP",Herbicide,
3-AT,Herbicide,
cutrine,Herbicide,
dichlobanil,Herbicide,
dichlorprop butoxyethyl ester,Herbicide,
dinoseb,Herbicide,
diquat dibromide,Herbicide,
diuron,Herbicide,
endothall,Herbicide,
erbon,Herbicide,
fluridone,Herbicide,
fluroxypyr-meptyl,Herbicide,
hexazinone,Herbicide,
linuron,Herbicide,
metolachlor,Herbicide,
molinate,Herbicide,
oxyfluorfen,Herbicide,
paraquat dichloride,Herbicide,
propanil,Herbicide,
simazine,Herbicide,
thiobencarb,Herbicide,
triclopyr,Herbicide,
ureabor,Herbicide,
mercury,Metal,
methyl mercury,Metal,
selenium,Metal,
cadmium,Metal,
chromium,Metal,
copper,Metal,
iron,Metal,
lithium,Metal,
nickel,Metal,
strontium,Metal,
zinc,Metal,
imidacloprid,Neonicotinoid,
clothianidin,Neonicotinoid,
aldrin,Organochlorine,
chlordane,Organochlorine,
DDD,Organochlorine,
DDT,Organochlorine,
dieldrin,Organochlorine,
endosulfan,Organochlorine,
endrin,Organochlorine,
exosulfan,Organochlorine,
heptachlor,Organochlorine,
lindane,Organochlorine,
methoxychlor,Organochlorine,
pentachlorophenol,Organochlorine,
pyridaben,Organochlorine,
chlorpyrifos,Organophosphate,
diazinon,Organophosphate,
malathion,Organophosphate,
azinphos-methyl,Organophosphate,
coumaphos,Organophosphate,
dichlorvos,Organophosphate,
dimethoate,Organophosphate,
EPN,Organophosphate,
fenthion,Organophosphate,
methidathion,Organophosphate,
naled,Organophosphate,
parathion,Organophosphate,
parathion methyl,Organophosphate,
phorate,Organophosphate,
phosmet,Organophosphate,
temephos,Organophosphate,
trichlorfon,Organophosphate,
fipornil sulfide,Other Insecticide,
fipronil,Other Insecticide,
fipronil amide,Other Insecticide,
fipronil sulfone,Other Insecticide,
diflubenzuron,Other Insecticide,
margosan O,Other Insecticide,
rotenone,Other Insecticide,
toxaphene,Other Insecticide,
aroclor 1254,PCB,
bifenthrin,Pyrethroid,
cyfluthrin,Pyrethroid,
deltamethrin,Pyrethroid,
esfenvalerate,Pyrethroid,
lambda cyhalothrin,Pyrethroid,
lambda cyhalothrin degradate,Pyrethroid,
permethrin,Pyrethroid,
cupermethrin,Pyrethroid,
fenpropathrin,Pyrethroid,
temperature,Water Quality,
pH,Water Quality,
dissolved oxygen,Water Quality,
conductivity,Water Quality,
nitrate,Water Quality,
nitrite ,Water Quality,
phosphorus ,Water Quality,
turbidity,Water Quality,
salinity,Water Quality,